,name,artist,album,release,genre,flac,likes
68,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2020.04.03,성인가요,Flac 16bit,"101,160"
69,별을 담은 시 (Ode To The Stars),마크툽 (MAKTUB),Red Moon : Ode To The Stars,2020.09.05,"R&B/Soul, 인디음악",Flac 16bit,"29,057"
70,축하해 (Prod. By VAN.C),오반,축하해,2020.09.09,"랩/힙합, 인디음악",Flac 16bit,"33,077"
71,덤디덤디 (DUMDi DUMDi),(여자)아이들,덤디덤디 (DUMDi DUMDi),2020.08.03,댄스,Flac 16/24bit,"87,944"
72,아무노래,지코 (ZICO),아무노래,2020.01.13,랩/힙합,Flac 16/24bit,"249,816"
73,Pretty Savage,BLACKPINK,THE ALBUM,2020.10.02,랩/힙합,Flac 16bit,"43,508"
74,너를 만나,폴킴,너를 만나,2018.10.29,발라드,Flac 16bit,"274,065"
75,12:45 (Stripped),Etham,12:45 (Stripped),2018.10.26,POP,Flac 16bit,"95,274"
76,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,2020.02.01,"록/메탈, 국내드라마",Flac 16/24bit,"192,991"
77,Love poem,아이유,Love poem,2019.11.01,록/메탈,Flac 16/24bit,"275,964"
78,도망가,MINO (송민호),TAKE,2020.10.30,랩/힙합,Flac 16bit,"33,914"
79,Maniac,Conan Gray,Maniac,2019.10.25,POP,Flac 16bit,"108,218"
80,Ice Cream (with Selena Gomez),BLACKPINK,Ice Cream (with Selena Gomez),2020.08.28,댄스,Flac 16bit,"70,561"
81,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),2018.10.08,POP,Flac 16bit,"234,091"
82,Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX,2020.07.01,랩/힙합,Flac 16/24bit,"103,344"
83,Not Shy,ITZY (있지),Not Shy,2020.08.17,댄스,Flac 16bit,"56,244"
84,가을 타나 봐,바이브,가을 타나 봐,2018.09.18,발라드,Flac 16/24bit,"150,623"
85,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam),2020.06.29,댄스,Flac 16bit,"81,826"
86,밤새 (취향저격 그녀 X 카더가든),카더가든,밤새 (취향저격 그녀 X 카더가든),2020.09.03,발라드,Flac 16/24bit,"33,124"
87,너의 곁에만 맴돌아,노을,너의 곁에만 맴돌아,2020.10.30,발라드,Flac 16bit,"12,155"
88,취했나봐,황인욱,취했나봐,2020.05.24,발라드,Flac 16/24bit,"40,218"
